CityName,#totalPopulation,%White,%Black/African-American,%NativeAmerican,%OtherRace/Ethinicity,#totalHomelessPopulation,%WhiteHomeless,%Black/African-AmericanHomeless ,%NativeAmericanHomeless ,%OtherRace/EthnicityHomeless,#totalSheltered,#totalUnsheltered
Seattle,753675,67.5%,7.3%,5%,24.9%,8166,48%,25%,15%,6%,4428,3738
Oklahoma City,655057,67.7%,14.3%,2.9%,24.1%,1573,60.5%,26%,8%,5%,1016,557
